Time,Type,Instrument,Product,Qty.,Avg. price,Status
12/12/22 16:27,SELL,TDPOWERSYS,CNC,0/50,129,CANCELLED
12/12/22 16:27,SELL,TIDEWATER,CNC,0/50,1043,CANCELLED
12/12/22 16:27,SELL,DLF,CNC,0/50,411,CANCELLED
12/12/22 16:27,SELL,COROMANDEL,CNC,0/50,969,CANCELLED
12/12/22 16:27,SELL,SURYAROSNI,CNC,0/50,512,CANCELLED
12/12/22 16:27,SELL,TATACHEM,CNC,0/50,1059,CANCELLED
12/12/22 16:27,SELL,SBIN,CNC,0/50,619,CANCELLED
12/12/22 16:00,SELL,PRICOLLTD,CNC,0/50,204,CANCELLED
12/12/22 16:00,SELL,LGBBROSLTD,CNC,0/50,709,CANCELLED
12/12/22 16:00,SELL,EIDPARRY,CNC,0/50,599,CANCELLED
12/12/22 16:00,SELL,HOMEFIRST,CNC,0/50,769,CANCELLED
12/12/22 16:00,SELL,TECHNOE*,CNC,0/50,324,CANCELLED
12/12/22 16:00,SELL,MAYURUNIQ,CNC,0/394,431,CANCELLED
12/12/22 16:00,SELL,KARURVYSYA,CNC,0/500,111,CANCELLED
12/12/22 16:00,SELL,AXISBANK,CNC,0/50,942,CANCELLED
12/12/22 16:00,SELL,BANDHANBNK,CNC,0/50,258,CANCELLED
12/12/22 16:00,SELL,ICICIBANK,CNC,0/50,936,CANCELLED
12/12/22 16:00,SELL,TATAMOTORS,CNC,0/50,423,CANCELLED
12/12/22 16:00,SELL,TATASTEEL,CNC,0/50,115,CANCELLED
12/12/22 12:37,SELL,GREAVESCOT,CNC,1000/1000,140,COMPLETE
12/12/22 11:54,SELL,PRUDENT,CNC,50/50,886,COMPLETE
12/12/22 11:43,SELL,BIRLACORPN,CNC,50/50,1013,COMPLETE
12/12/22 11:35,SELL,HOMEFIRST,CNC,50/50,763,COMPLETE
12/12/22 11:25,SELL,AMIORG,CNC,50/50,946,COMPLETE
12/12/22 11:08,SELL,IONEXCHANG,CNC,50/50,2960,COMPLETE
12/12/22 10:59,SELL,POWERMECH,CNC,50/50,2314,COMPLETE
12/12/22 10:58,SELL,IIFL,CNC,50/50,491.29,COMPLETE
12/12/22 10:55,SELL,IIFL,CNC,01-Jan,494,COMPLETE
12/12/22 10:23,SELL,SBILIFE,CNC,50/50,1267,COMPLETE
12/12/22 9:55,SELL,PSPPROJECT,CNC,50/50,675.76,COMPLETE
12/12/22 9:52,SELL,BHARATFORG,CNC,50/50,861,COMPLETE
12/12/22 9:42,SELL,RVNL,CNC,1000/1000,70,COMPLETE
12/12/22 9:41,SELL,BCLIND,CNC,50/50,391,COMPLETE
12/12/22 9:36,SELL,GODFRYPHLP,CNC,50/50,1980,COMPLETE
12/12/22 9:35,SELL,HDFCBANK,CNC,50/50,1629,COMPLETE
12/12/22 9:34,SELL,LUMAXIND,CNC,50/50,1896.8,COMPLETE
12/12/22 9:23,SELL,JKLAKSHMI,CNC,50/50,838,COMPLETE
12/12/22 9:22,SELL,INFY,CNC,50/50,1544,COMPLETE
12/12/22 9:21,SELL,INFY,CNC,50/50,1539,COMPLETE
12/12/22 9:17,SELL,DELHIVERY,CNC,50/50,358.64,COMPLETE
12/12/22 9:17,SELL,PSPPROJECT,CNC,50/50,676.79,COMPLETE
12/12/22 11:41,BUY,TIDEWATER,CNC,50/50,1040.6,COMPLETE
12/12/22 11:40,BUY,PRUDENT,CNC,50/50,882.25,COMPLETE
12/12/22 11:38,BUY,BIRLACORPN,CNC,50/50,1010.86,COMPLETE
12/12/22 11:20,BUY,SURYAROSNI,CNC,50/50,508,COMPLETE
12/12/22 10:47,BUY,POWERMECH,CNC,50/50,2309.38,COMPLETE
12/12/22 10:45,BUY,IONEXCHANG,CNC,50/50,2954.14,COMPLETE
12/12/22 9:59,BUY,AMIORG,CNC,50/50,943.27,COMPLETE
12/12/22 9:58,BUY,HOMEFIRST,CNC,50/50,760.51,COMPLETE
12/12/22 9:55,BUY,PSPPROJECT,CNC,50/50,676,COMPLETE
12/12/22 9:51,BUY,IIFL,CNC,50/50,488.92,COMPLETE
12/12/22 9:39,BUY,IIFL,CNC,01-Jan,492.7,COMPLETE
12/12/22 9:38,BUY,BHARATFORG,CNC,50/50,857,COMPLETE
12/12/22 9:35,BUY,GODFRYPHLP,CNC,50/50,1976.83,COMPLETE
12/12/22 9:34,BUY,LUMAXIND,CNC,50/50,1898.92,COMPLETE
12/12/22 9:21,BUY,INFY,CNC,50/50,1539.5,COMPLETE
12/12/22 9:16,BUY,JKLAKSHMI,CNC,50/50,835.04,COMPLETE
12/12/22 9:16,BUY,BCLIND,CNC,50/50,387.87,COMPLETE
12/12/22 9:16,BUY,TDPOWERSYS,CNC,50/50,125,COMPLETE
12/12/22 9:15,BUY,DELHIVERY,CNC,50/50,353.95,COMPLETE
12/12/22 9:15,BUY,PSPPROJECT,CNC,50/50,670,COMPLETE
12/12/22 9:15,BUY,INFY,CNC,50/50,1537.45,COMPLETE
12/12/22 9:15,BUY,HDFCBANK,CNC,50/50,1626.45,COMPLETE
12/12/22 9:15,BUY,SBILIFE,CNC,50/50,1263.5,COMPLETE
12/12/22 9:15,BUY,SBIN,CNC,50/50,615,COMPLETE